Country,Latitude,Longitude,Purchase Link,Discription
Mexico,23.634501,-102.552784,http://amzn.to/2vXAwY6,"Oaxaca Pluma and Alta Pluma are light bodied with milk chocolate flavors, and an exceptional ability to carry the flavors into darker roasts. Some Chiapas coffees can also be very good."
Guatemala,15.783471,-90.230759,http://amzn.to/2iVgzQf," Antigua: Spicy, smoky cups that can take darker roasts. Heavier bodied than most centrals
Huehuetenango: delicate, delightfully floral, and buttery
Other: Other regions in Guatemala produce some outstanding classic cup coffees.
"
Costa Rica,9.748917,-83.753428,http://amzn.to/2xIdxSM,"Terrazu: Powerful and sweet citrus and nut flavors, heavier bodied than most centrals
Other: Some excellent classic cups come from other regions
"
Panama,8.537981,-80.782127,http://amzn.to/2ewG1Xq,Panama coffees have an awesome reputation among professionals and are virtually unknown by the wider public. The quintessential classic cup coffee.
Nicaragua,12.865416,-85.207229,http://amzn.to/2wzh0TP,Milder in acidity than most centrals. Nicaraguan Bourbons can have a variety of middle flavors like pear or vanilla; and roast flavors reminiscent of pie crust or chocolate.
El Salvador,13.794185,-88.89653,http://amzn.to/2vDmEa4,Similar to Nicaragua. El Salvador is producing some pulped natural coffees that are suitable for espresso
Colombia,4.570868,-74.297333,http://amzn.to/2vXBqUh,"Medium bodied, medium acid coffees, some of very high quality. Mostly classic cup, but with occasional surprises."
Brazil,-14.235004,-51.92528,http://amzn.to/2iURTYt,"Creamy bodied, low acid coffees. Much Brazilian coffee is of poor quality, but some, used in premium espresso, are very fine. These are mild tasting, mostly with milk chocolate, cherry, and sassafras notes"
Peru,-9.189967,-75.015152,http://amzn.to/2x3uvhk,"Very high grown coffees. Poor samples are thin and sour; good ones are also acidic, but have the sweetness, body, and rich caramel roast tastes to balance."
Bolivia,-16.290154,-63.588653,http://amzn.to/2iUNvZh,"A new area. Medium bodied coffees like Colombia, some very fine."
Jamaica,18.109581,-77.297508,http://amzn.to/2xIdpTC,"When good, a quintessential classic cup, mellow and sweet."
Hawaii,19.896766,-155.582782,http://amzn.to/2xIdpTk,"Classic cup with fruit and vanilla flavors, sweet"
Puerto Rico,18.220833,-66.590149,http://amzn.to/2ewHFIA,The good coffees are smoky sweet with peat and molasses flavors. Highly prized by italian blenders for espresso.
Haiti,18.971187,-72.285215,http://amzn.to/2ewtYct,The good coffees are smoky sweet with peat and molasses flavors. Highly prized by italian blenders for espresso.
Cuba,21.521757,-77.781167,http://amzn.to/2xIrFLV,The good coffees are smoky sweet with peat and molasses flavors. Highly prized by italian blenders for espresso.
St Helena ,-15.96501,-5.708924,http://amzn.to/2vXiOUN,Floral coffees from heirloom varieties reminiscent of Ethiopian Yrgacheffe and washed Sidamos
Galapagos,-0.953769,-90.965602,https://www.seaislandcoffee.com/single-origin-coffee-origin-galapagos,Floral coffees from heirloom varieties reminiscent of Ethiopian Yrgacheffe and washed Sidamos
Australia,-25.274398,133.775136,http://www.ewingsdalecoffee.com.au/coffee,Rejoining the coffee growing world after a long absence. Too early to tell how the quality will turn out.
Kenya,-0.023559,37.906193,http://amzn.to/2iTYulG,"A famous quip in the trade is that Kenyas come in three varieties: Citrus, Blackcurrant, and Horsehair. Great Kenyas will show the citrus and blackcurrant in a single cup, along with spice, sweetness, and some wineyness. We pass on the horsehair."
Ethiopia,9.145,40.489673,http://amzn.to/2eAyD0T,"Harar: Famous for its blueberry notes. Also expect apricot, chocolate, leather, wineyness, and even gamey notes. These are dry process, complex cups, prized for espresso blends
Yrgacheffe: Famous for its potent floral aroma. Delicate citrus and green tea notes accompany the flowers. Great Yrgs also have balancing sweetness and middle fruit flavors.
Other: Other regions produce cups intermediate between the Harar and Yrgacheffe extremes. Quality can be very uneven; but well prepped lots can be spectacular.
"
Tanzania,-6.369028,34.888822,http://amzn.to/2x3cAra,"Similar to Kenyas, but more understated in acidity and fruit. Frequently have ceder flavors"
Rwanda,-1.940278,29.873888,http://amzn.to/2wwF4rM,"Similar to Kenyas, but more understated in acidity and fruit. Frequently have ceder flavors"
Zimbabwe,-19.015438,29.154857,http://amzn.to/2xHUTuk,"Similar to Kenyas, but more understated in acidity and fruit. Frequently have ceder flavors"
Yemen,15.552727,48.516388,http://amzn.to/2eB0hei,"Dry process, similar to Harar. The best ones are dizzyingly complex, and have an effect similar to well aged wine or brandy."
Burundi,-3.373056,29.918886,http://amzn.to/2wzlYQd,"Lower acid, heavier bodied coffees with vanilla and chocolate roast tastes. In good years, they can taste like spectacular ""super-javas;"" but sadly, their quality is very uneven."
Uganda,1.373333,32.290275,http://amzn.to/2xIdpCW,"Lower acid, heavier bodied coffees with vanilla and chocolate roast tastes. In good years, they can taste like spectacular ""super-javas;"" but sadly, their quality is very uneven."
Indonesia,-0.789275,113.921327,http://amzn.to/2iUQmBt,"Java: The first coffee growing area under European control; so the name has become synonymous with coffee. Good quality Java is a very low acid, very heavy bodied classic cup. Aged (old brown) Java has intense woody roast tastes, extremely heavy body, and almost no acidity."
Sulawesi Toraja ,-5.142603,119.490852,https://www.smokinbeans.com/sulawesi/,"A semi-wet processed coffee, classic cup like Java, but with more exotic spice and dark fruit flavors. Roast flavors tend towards chocolate."
Papua New Guinea,-6.314993,143.95555,http://amzn.to/2xISEHs,Fruitier and lighter bodied than Sulawesis. Poor ones can taste like beef broth; good ones like pleasantly exotic classic cups.
Bali,-8.409518,115.188916,http://amzn.to/2ewmyWX,"Prized by the Japanese for its flawless processing and translucent emerald beans, hence expensive. Similar in its virtues and faults to Papua New Guinea"
India,20.593684,78.96288,http://amzn.to/2iUrSbF,"The first region outside Arabia to cultivate coffee. Indian coffees are very well processed. The highest grades are spicy and have hints of tropical fruit. Monsooned varieties (a form of aging) are very heavy bodied, have intense loamy and woody flavors, and are very low acid. Italian blenders use Indian coffees in preference to Indonesian ones as bases for espresso blends. Their use in the US is just beginning"
